ID,CourseName
628,Hidrogeoquímica
629,Programación de Sistemas
630,Procesos Estocásticos I
631,Procesos Estocásticos II
633,Programación Entera
634,Programación no Lineal
636,Sismología I
637,Sismología II
638,Suelos
639,Temas Selectos de Ciencias de la Tierra Sólida I
645,Temas Selectos de Ciencias de la Tierra Sólida II
646,Teoría del Flujo Subterráneo
647,Vulcanología
648,Evaluación del Riesgo Geológico
652,Dinámica de Biofluidos
654,Administración de Empresas de Software
655,Administración de Sistemas Unix/Linux
656,Algoritmos de Apareamiento de Cadenas
657,Algoritmos Paralelos
658,Almacenes y Minería de Datos
659,Animación por Computadora
662,Computación Cuántica I
663,Computación Cuántica II
664,Cómputo Evolutivo
665,Diseño de Interfaces de Usuario
666,Diseño y Programación de Videojuegos
667,Genómica Computacional
668,Ingeniería de Software II
669,Introducción a la Criptografía
671,Lógica Computacional II
672,Métodos Formales
673,Métricas de Software
674,Patrones de Diseño de Software
675,Programación de Dispositivos Móviles
676,Programación Declarativa
677,Protocolos de Enrutamiento
679,Razonamiento Automatizado
681,Relatividad
683,Recursos Naturales
686,Ruso
688,Seminario de Biología B
689,Seminario de Biología C
690,Seminario de Biología de P.74
691,Seminario de Biología E
705,Seminario de Álgebra B
706,Seminario de Análisis Matemático B
707,Seminario de Computación B
708,Seminario de Estadística B
709,Seminario de Geometría B
710,Seminario de Probalidad B
712,Seminario de Topología B
713,Sistemas Operativos
714,Redes de Computadoras
715,Física Computacional
716,Laboratorio de Electrónica
717,Mecánica Cuántica
718,Relatividad
719,Epigenética
720,Seguro de Personas
724,Simulación y Control
729,Fisiopatología de la Hiperexcitabilidad Neuronal
730,Genómica Viral
731,Electrofisiología
732,Filosofía de la Ciencia
734,Biosensores
735,Seminario Matemáticas Aplicadas I
736,Seminario Matemáticas Aplicadas II
737,Seminario de Cálculo de Formas Diferenciales
739,Física del Radiodiagnóstico
740,Física de la Medicina Nuclear
741,Física de la Radioterapia
742,Seminario de Álgebra A
743,Seminario de Análisis Matemático A
744,Seminario de Computación A
745,Seminario de Geometría A
746,Física de la Resonancia Magnética
747,Seminario de Sistemas A
748,Seminario de Estadística A
749,Seminario de Probabilidad A
750,Seminario Filosofía de las Matemáticas
751,Seminario sobre Enseñanza de las Matemáticas I
754,Seminario sobre Enseñanza de las Matemáticas II
755,Introducción a las Matemáticas Discretas
756,Taller de Herramientas Computacionales
757,Ciencia Básica
758,Taller de Modelación I
759,Teoría de Gráficas
760,Teoría de los Conjuntos I
764,Teoría de los Números I
765,Topología I
766,Topología II
